"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","1/524","16/21644",0.324473409441206,0.689764632794523,0.61377361392733,"ATNHX5",1
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","1/524","16/21644",0.324473409441206,0.689764632794523,0.61377361392733,"ATNHX5",1
"GO:1900057","GO:1900057","positive regulation of leaf senescence","1/524","16/21644",0.324473409441206,0.689764632794523,0.61377361392733,"SAG101",1
"GO:1900865","GO:1900865","chloroplast RNA modification","1/524","16/21644",0.324473409441206,0.689764632794523,0.61377361392733,"PDM1",1
"GO:1905623","GO:1905623","positive regulation of leaf development","1/524","16/21644",0.324473409441206,0.689764632794523,0.61377361392733,"SAG101",1
"GO:0006401","GO:0006401","RNA catabolic process","4/524","119/21644",0.325695161787219,0.689764632794523,0.61377361392733,"ATCTH/ASU1/AtCAF1a/ECT8",4
"GO:0072511","GO:0072511","divalent inorganic cation transport","4/524","119/21644",0.325695161787219,0.689764632794523,0.61377361392733,"ACA1/ABCG36/ENOR3L3/ENOR3L2",4
"GO:0097549","GO:0097549","chromatin organization involved in negative regulation of transcription","3/524","83/21644",0.325884561680463,0.689764632794523,0.61377361392733,"H2A.Z/h2a.w.7/h2a.w.6",3
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","3/524","83/21644",0.325884561680463,0.689764632794523,0.61377361392733,"UGT76C2/ATGSTU13/ABCG36",3
"GO:0009658","GO:0009658","chloroplast organization","7/524","231/21644",0.327376895879395,0.691889081440632,0.615664013146325,"SVR7/LSU2/ATECB2/ATGLK1/EVR1/ARC5/NA",7
"GO:0035556","GO:0035556","intracellular signal transduction","13/524","463/21644",0.332307237748077,0.698143694903585,0.621229559024376,"ATCPK32/ATVPS34/ARL2/AtRabE1b/ATERF-4/ATERF-2/AtRABA1c/ATERF11/ATERF6/EBF2/ATWNK5/ATHSGBP/SNRK2-8",13
"GO:0034401","GO:0034401","chromatin organization involved in regulation of transcription","3/524","84/21644",0.332530384204034,0.698143694903585,0.621229559024376,"H2A.Z/h2a.w.7/h2a.w.6",3
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","2/524","49/21644",0.333294588809904,0.698143694903585,0.621229559024376,"ATCAT3/TPX2",2
"GO:0044273","GO:0044273","sulfur compound catabolic process","2/524","49/21644",0.333294588809904,0.698143694903585,0.621229559024376,"ATGSTU13/ABCG36",2
"GO:0071166","GO:0071166","ribonucleoprotein complex localization","2/524","49/21644",0.333294588809904,0.698143694903585,0.621229559024376,"ATRAN1/ATDSS1(I)",2
"GO:0071426","GO:0071426","ribonucleoprotein complex export from nucleus","2/524","49/21644",0.333294588809904,0.698143694903585,0.621229559024376,"ATRAN1/ATDSS1(I)",2
"GO:0009072","GO:0009072","aromatic amino acid family metabolic process","3/524","85/21644",0.339173785854654,0.698450644011049,0.621502691704747,"CYP79B3/NA/ADT2",3
"GO:0009129","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"CARB",1
"GO:0009396","GO:0009396","folic acid-containing compound biosynthetic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATDFD",1
"GO:0010506","GO:0010506","regulation of autophagy","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATWRKY33",1
"GO:0019344","GO:0019344","cysteine biosynthetic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATSERAT2;2",1
"GO:0030050","GO:0030050","vesicle transport along actin filament","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATVIIIB",1
"GO:0042559","GO:0042559","pteridine-containing compound biosynthetic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATDFD",1
"GO:0044003","GO:0044003","modulation by symbiont of host process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ASU1",1
"GO:0046040","GO:0046040","IMP metabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"PUR4",1
"GO:0046688","GO:0046688","response to copper ion","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"AtSOD2",1
"GO:0046855","GO:0046855","inositol phosphate dephosphorylation","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATSAL2",1
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATBT2",1
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"XBAT32",1
"GO:0071545","GO:0071545","inositol phosphate catabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"ATSAL2",1
"GO:2001057","GO:2001057","reactive nitrogen species metabolic process","1/524","17/21644",0.340839968228556,0.698450644011049,0.621502691704747,"GNR1",1
"GO:0006606","GO:0006606","protein import into nucleus","2/524","50/21644",0.342163019825264,0.699138291591016,0.622114581500481,"ATRAN1/NA",2
"GO:0090174","GO:0090174","organelle membrane fusion","2/524","50/21644",0.342163019825264,0.699138291591016,0.622114581500481,"AT-SYR1/ATSYP122",2
"GO:0006631","GO:0006631","fatty acid metabolic process","7/524","235/21644",0.343019047836438,0.699798122148517,0.622701718860968,"AtFAD7/ATLACS7/AtNCER3/ATLOX4/KCS8/ATLOX3/ATMYB30",7
"GO:0010026","GO:0010026","trichome differentiation","3/524","87/21644",0.352445727910144,0.699798122148517,0.622701718860968,"ATELC/SVB/KAK",3
"GO:0002790","GO:0002790","peptide secretion","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtRabE1b",1
"GO:0006108","GO:0006108","malate metabolic process","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"mMDH1",1
"GO:0006903","GO:0006903","vesicle targeting","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"MAG5",1
"GO:0009306","GO:0009306","protein secretion","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtRabE1b",1
"GO:0009697","GO:0009697","salicylic acid biosynthetic process","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"CBP60G",1
"GO:0016119","GO:0016119","carotene metabolic process","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ATNCED3",1
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtRabE1b",1
"GO:0035821","GO:0035821","modulation of process of other organism","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ASU1",1
"GO:0043928","GO:0043928","exonucleolytic catabolism of deadenylated mRNA","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtCAF1a",1
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ATVPS34",1
"GO:0048017","GO:0048017","inositol lipid-mediated signaling","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ATVPS34",1
"GO:0051123","GO:0051123","RNA polymerase II preinitiation complex assembly","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"NA",1
"GO:0051223","GO:0051223","regulation of protein transport","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"MAG5",1
"GO:0051817","GO:0051817","modulation of process of other organism involved in symbiotic interaction","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ASU1",1
"GO:0070201","GO:0070201","regulation of establishment of protein localization","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"MAG5",1
"GO:0071333","GO:0071333","cellular response to glucose stimulus","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtbZIP1",1
"GO:0071692","GO:0071692","protein localization to extracellular region","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"AtRabE1b",1
"GO:0090087","GO:0090087","regulation of peptide transport","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"MAG5",1
"GO:0090354","GO:0090354","regulation of auxin metabolic process","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"RVE1",1
"GO:0099518","GO:0099518","vesicle cytoskeletal trafficking","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"ATVIIIB",1
"GO:1903959","GO:1903959","regulation of anion transmembrane transport","1/524","18/21644",0.35681073886934,0.699798122148517,0.622701718860968,"FLS2",1
"GO:0016143","GO:0016143","S-glycoside metabolic process","4/524","125/21644",0.358709485392655,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51/ATGSTU13/ABCG36",4
"GO:0019757","GO:0019757","glycosinolate metabolic process","4/524","125/21644",0.358709485392655,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51/ATGSTU13/ABCG36",4
"GO:0019760","GO:0019760","glucosinolate metabolic process","4/524","125/21644",0.358709485392655,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51/ATGSTU13/ABCG36",4
"GO:0065004","GO:0065004","protein-DNA complex assembly","3/524","88/21644",0.3590705901762,0.699798122148517,0.622701718860968,"NA/NA/H2B",3
"GO:0009817","GO:0009817","defense response to fungus, incompatible interaction","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"ATNPR3/ABCG36",2
"GO:0010286","GO:0010286","heat acclimation","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"ATWRKY33/NA",2
"GO:0016144","GO:0016144","S-glycoside biosynthetic process","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51",2
"GO:0019758","GO:0019758","glycosinolate biosynthetic process","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51",2
"GO:0019761","GO:0019761","glucosinolate biosynthetic process","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"CYP79B3/AtMYB51",2
"GO:0034754","GO:0034754","cellular hormone metabolic process","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"CYP79B3/UGT76C2",2
"GO:0045491","GO:0045491","xylan metabolic process","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"ATBXL1/RWA1",2
"GO:1990542","GO:1990542","mitochondrial transmembrane transport","2/524","52/21644",0.359783215341893,0.699798122148517,0.622701718860968,"MGE1/AtMPC1",2
"GO:0006986","GO:0006986","response to unfolded protein","2/524","53/21644",0.368528431383121,0.707800951728815,0.62982288077564,"ATBZIP60/ANAC062",2
"GO:0034620","GO:0034620","cellular response to unfolded protein","2/524","53/21644",0.368528431383121,0.707800951728815,0.62982288077564,"ATBZIP60/ANAC062",2
"GO:0051170","GO:0051170","import into nucleus","2/524","53/21644",0.368528431383121,0.707800951728815,0.62982288077564,"ATRAN1/NA",2
"GO:0002183","GO:0002183","cytoplasmic translational initiation","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"EIF4A1",1
"GO:0006144","GO:0006144","purine nucleobase metabolic process","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"PUR4",1
"GO:0010380","GO:0010380","regulation of chlorophyll biosynthetic process","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"ATGLK1",1
"GO:0015743","GO:0015743","malate transport","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"DIC3",1
"GO:0015914","GO:0015914","phospholipid transport","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"ALA2",1
"GO:0034644","GO:0034644","cellular response to UV","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"AtSOD2",1
"GO:0044070","GO:0044070","regulation of anion transport","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"FLS2",1
"GO:0046149","GO:0046149","pigment catabolic process","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"UGT76C2",1
"GO:0046834","GO:0046834","lipid phosphorylation","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"ATVPS34",1
"GO:0046854","GO:0046854","phosphatidylinositol phosphorylation","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"ATVPS34",1
"GO:0055062","GO:0055062","phosphate ion homeostasis","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"HHO2",1
"GO:0072506","GO:0072506","trivalent inorganic anion homeostasis","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"HHO2",1
"GO:0090114","GO:0090114","COPII-coated vesicle budding","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"MAG5",1
"GO:1990069","GO:1990069","stomatal opening","1/524","19/21644",0.372395274744327,0.707800951728815,0.62982288077564,"AtRZPF34",1
"GO:0090626","GO:0090626","plant epidermis morphogenesis","3/524","92/21644",0.385455315972202,0.725986382384325,0.646004831782662,"ATELC/SVB/KAK",3
"GO:0010311","GO:0010311","lateral root formation","2/524","55/21644",0.385874071210815,0.725986382384325,0.646004831782662,"ATPLT5/XBAT32",2
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis","2/524","55/21644",0.385874071210815,0.725986382384325,0.646004831782662,"NA/AFH3",2
"GO:0046434","GO:0046434","organophosphate catabolic process","2/524","55/21644",0.385874071210815,0.725986382384325,0.646004831782662,"ATSAL2/PLDGAMMA3",2
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","8/524","285/21644",0.386046480063906,0.725986382384325,0.646004831782662,"KFB/ARI7/NA/UPL5/NA/PBB2/NA/EBF2",8
"GO:0009959","GO:0009959","negative gravitropism","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"SGR6",1
"GO:0030307","GO:0030307","positive regulation of cell growth","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"ATGRP-5",1
"GO:0042761","GO:0042761","very long-chain fatty acid biosynthetic process","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"ATMYB30",1
"GO:0071326","GO:0071326","cellular response to monosaccharide stimulus","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"AtbZIP1",1
"GO:0071331","GO:0071331","cellular response to hexose stimulus","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"AtbZIP1",1
"GO:1901463","GO:1901463","regulation of tetrapyrrole biosynthetic process","1/524","20/21644",0.387602899069597,0.725986382384325,0.646004831782662,"ATGLK1",1
"GO:0048831","GO:0048831","regulation of shoot system development","7/524","248/21644",0.394329655725236,0.734440346290716,0.653527426784112,"SAG101/LSU4/MBS2/MBS1/ATGLK1/AGAL2/BRH1",7
"GO:0032268","GO:0032268","regulation of cellular protein metabolic process","11/524","407/21644",0.398189740751408,0.734440346290716,0.653527426784112,"NA/SVR7/ATCTH/ANK1/ARI7/NA/AtCAF1a/ECT8/NA/OTLD1/NA",11
"GO:0000209","GO:0000209","protein polyubiquitination","3/524","94/21644",0.398555946168305,0.734440346290716,0.653527426784112,"MMZ4/ARI7/UPL5",3
"GO:0006470","GO:0006470","protein dephosphorylation","5/524","171/21644",0.398889537114553,0.734440346290716,0.653527426784112,"ATPTPKIS1/PLL4/APD5/ANK1/NA",5
"GO:0030003","GO:0030003","cellular cation homeostasis","5/524","171/21644",0.398889537114553,0.734440346290716,0.653527426784112,"AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",5
"GO:0055082","GO:0055082","cellular chemical homeostasis","6/524","210/21644",0.399014374941763,0.734440346290716,0.653527426784112,"AtbZIP1/AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",6
"GO:0009074","GO:0009074","aromatic amino acid family catabolic process","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"CYP79B3",1
"GO:0009934","GO:0009934","regulation of meristem structural organization","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"CYP711A1",1
"GO:0015740","GO:0015740","C4-dicarboxylate transport","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"DIC3",1
"GO:0016075","GO:0016075","rRNA catabolic process","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"ASU1",1
"GO:0042136","GO:0042136","neurotransmitter biosynthetic process","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"GNR1",1
"GO:0045910","GO:0045910","negative regulation of DNA recombination","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"NA",1
"GO:0055083","GO:0055083","monovalent inorganic anion homeostasis","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"HHO2",1
"GO:0072505","GO:0072505","divalent inorganic anion homeostasis","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"HHO2",1
"GO:0099515","GO:0099515","actin filament-based transport","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"ATVIIIB",1
"GO:1901371","GO:1901371","regulation of leaf morphogenesis","1/524","21/21644",0.402442710431396,0.734440346290716,0.653527426784112,"BRH1",1
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","2/524","57/21644",0.403008579850202,0.734440346290716,0.653527426784112,"NAGK/CARB",2
"GO:0009073","GO:0009073","aromatic amino acid family biosynthetic process","2/524","57/21644",0.403008579850202,0.734440346290716,0.653527426784112,"NA/ADT2",2
"GO:0034440","GO:0034440","lipid oxidation","2/524","57/21644",0.403008579850202,0.734440346290716,0.653527426784112,"ATLOX4/ATLOX3",2
"GO:0051258","GO:0051258","protein polymerization","2/524","57/21644",0.403008579850202,0.734440346290716,0.653527426784112,"ADF9/AFH3",2
"GO:0055046","GO:0055046","microgametogenesis","2/524","57/21644",0.403008579850202,0.734440346290716,0.653527426784112,"ATVPS34/PUR4",2
"GO:0006511","GO:0006511","ubiquitin-dependent protein catabolic process","13/524","491/21644",0.410769964608302,0.739798066065917,0.658294889295943,"BP80-3;1/AtRZPF34/KFB/ARI7/NA/UPL5/AtSKIP19/NA/PBB2/XBAT32/NA/ATRMA1/EBF2",13
"GO:0042538","GO:0042538","hyperosmotic salinity response","2/524","58/21644",0.411490474992303,0.739798066065917,0.658294889295943,"ATCP1/ATNCED3",2
"GO:0072528","GO:0072528","pyrimidine-containing compound biosynthetic process","2/524","58/21644",0.411490474992303,0.739798066065917,0.658294889295943,"RSW10/CARB",2
"GO:0006778","GO:0006778","porphyrin-containing compound metabolic process","3/524","96/21644",0.411579099772121,0.739798066065917,0.658294889295943,"ATGLK1/hemf2/AtUPM1",3
"GO:0051656","GO:0051656","establishment of organelle localization","3/524","96/21644",0.411579099772121,0.739798066065917,0.658294889295943,"ATRAN1/MAG5/ATVIIIB",3
"GO:0006558","GO:0006558","L-phenylalanine metabolic process","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ADT2",1
"GO:0009395","GO:0009395","phospholipid catabolic process","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"PLDGAMMA3",1
"GO:0010020","GO:0010020","chloroplast fission","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ARC5",1
"GO:0030838","GO:0030838","positive regulation of actin filament polymerization","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"AFH3",1
"GO:0032386","GO:0032386","regulation of intracellular transport","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"MAG5",1
"GO:0032507","GO:0032507","maintenance of protein location in cell","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"AT-SYR1",1
"GO:0043572","GO:0043572","plastid fission","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ARC5",1
"GO:0043650","GO:0043650","dicarboxylic acid biosynthetic process","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"NA",1
"GO:0045010","GO:0045010","actin nucleation","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"AFH3",1
"GO:0045185","GO:0045185","maintenance of protein location","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"AT-SYR1",1
"GO:0072348","GO:0072348","sulfur compound transport","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"DIC3",1
"GO:0098657","GO:0098657","import into cell","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ATNHX5",1
"GO:0098739","GO:0098739","import across plasma membrane","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ATNHX5",1
"GO:1902221","GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"ADT2",1
"GO:2000142","GO:2000142","regulation of DNA-templated transcription, initiation","1/524","22/21644",0.416923588188134,0.739798066065917,0.658294889295943,"NA",1
"GO:0042737","GO:0042737","drug catabolic process","5/524","175/21644",0.418035551626161,0.739798066065917,0.658294889295943,"ATCAT3/ATPME3/TPX2/ATPAO4/NA",5
"GO:0006402","GO:0006402","mRNA catabolic process","3/524","97/21644",0.418058056682907,0.739798066065917,0.658294889295943,"ATCTH/AtCAF1a/ECT8",3
"GO:0033013","GO:0033013","tetrapyrrole metabolic process","3/524","97/21644",0.418058056682907,0.739798066065917,0.658294889295943,"ATGLK1/hemf2/AtUPM1",3
"GO:0034504","GO:0034504","protein localization to nucleus","2/524","59/21644",0.419912464779254,0.739798066065917,0.658294889295943,"ATRAN1/NA",2
"GO:0034728","GO:0034728","nucleosome organization","2/524","59/21644",0.419912464779254,0.739798066065917,0.658294889295943,"NA/H2B",2
"GO:0051187","GO:0051187","cofactor catabolic process","2/524","59/21644",0.419912464779254,0.739798066065917,0.658294889295943,"ATCAT3/TPX2",2
"GO:0071215","GO:0071215","cellular response to abscisic acid stimulus","6/524","215/21644",0.420577290383519,0.739798066065917,0.658294889295943,"ATBT2/UGT76C2/ATCPK32/ARL2/ABF3/ATEXO70B1",6
"GO:0097306","GO:0097306","cellular response to alcohol","6/524","215/21644",0.420577290383519,0.739798066065917,0.658294889295943,"ATBT2/UGT76C2/ATCPK32/ARL2/ABF3/ATEXO70B1",6
"GO:0000904","GO:0000904","cell morphogenesis involved in differentiation","7/524","255/21644",0.422025277463838,0.741424060656073,0.659741748888878,"NA/SIP2/ATELC/LRX1/SVB/KAK/AFH3",7
"GO:0040029","GO:0040029","regulation of gene expression, epigenetic","5/524","177/21644",0.427572503979569,0.744357004882564,0.662351572141264,"H2A.Z/AtSOD2/h2a.w.7/ASU1/h2a.w.6",5
"GO:0006405","GO:0006405","RNA export from nucleus","2/524","60/21644",0.428272476826311,0.744357004882564,0.662351572141264,"ATRAN1/ATDSS1(I)",2
"GO:2000243","GO:2000243","positive regulation of reproductive process","2/524","60/21644",0.428272476826311,0.744357004882564,0.662351572141264,"ATBZIP10/AGAL2",2
"GO:0006364","GO:0006364","rRNA processing","6/524","217/21644",0.429177559803334,0.744357004882564,0.662351572141264,"NA/EVR1/EVR1L1/NA/DIM1A/NA",6
"GO:0001678","GO:0001678","cellular glucose homeostasis","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"AtbZIP1",1
"GO:0006573","GO:0006573","valine metabolic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"NA",1
"GO:0009593","GO:0009593","detection of chemical stimulus","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"ERF74",1
"GO:0009688","GO:0009688","abscisic acid biosynthetic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"ATNCED3",1
"GO:0010039","GO:0010039","response to iron ion","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"AtSOD2",1
"GO:0031537","GO:0031537","regulation of anthocyanin metabolic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"UGT76C2",1
"GO:0043289","GO:0043289","apocarotenoid biosynthetic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"ATNCED3",1
"GO:0046112","GO:0046112","nucleobase biosynthetic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"PUR4",1
"GO:0048194","GO:0048194","Golgi vesicle budding","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"MAG5",1
"GO:1902645","GO:1902645","tertiary alcohol biosynthetic process","1/524","23/21644",0.431054197742728,0.744357004882564,0.662351572141264,"ATNCED3",1
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","2/524","61/21644",0.436568573765747,0.749878192731829,0.66726449353256,"ATSERAT2;2/XBAT32",2
"GO:0009749","GO:0009749","response to glucose","2/524","61/21644",0.436568573765747,0.749878192731829,0.66726449353256,"ATGPT2/AtbZIP1",2
"GO:0031503","GO:0031503","protein-containing complex localization","2/524","61/21644",0.436568573765747,0.749878192731829,0.66726449353256,"ATRAN1/ATDSS1(I)",2
"GO:0036503","GO:0036503","ERAD pathway","2/524","61/21644",0.436568573765747,0.749878192731829,0.66726449353256,"NA/ATRMA1",2
"GO:0007034","GO:0007034","vacuolar transport","3/524","100/21644",0.43734840918554,0.749878192731829,0.66726449353256,"BP80-3;1/(AT)SRC2/ATI1",3
"GO:0016050","GO:0016050","vesicle organization","3/524","101/21644",0.443725488883214,0.749878192731829,0.66726449353256,"AT-SYR1/ATSYP122/MAG5",3
"GO:0009555","GO:0009555","pollen development","9/524","341/21644",0.443770163624664,0.749878192731829,0.66726449353256,"ATBT2/AtUGP1/ATVPS34/ATLOX4/LecRK-IV.2/AtJAZ1/ATLOX3/PUR4/SAMBA",9
"GO:0009657","GO:0009657","plastid organization","8/524","301/21644",0.444788832971504,0.749878192731829,0.66726449353256,"TRX/SVR7/LSU2/ATECB2/ATGLK1/EVR1/ARC5/NA",8
"GO:0006626","GO:0006626","protein targeting to mitochondrion","2/524","62/21644",0.444798947946143,0.749878192731829,0.66726449353256,"MGE1/ATTOM22-V",2
"GO:0043624","GO:0043624","cellular protein complex disassembly","2/524","62/21644",0.444798947946143,0.749878192731829,0.66726449353256,"ADF3/ADF9",2
"GO:0051302","GO:0051302","regulation of cell division","2/524","62/21644",0.444798947946143,0.749878192731829,0.66726449353256,"ARL2/ATMYB3R-1",2
"GO:0061025","GO:0061025","membrane fusion","2/524","62/21644",0.444798947946143,0.749878192731829,0.66726449353256,"AT-SYR1/ATSYP122",2
"GO:0006595","GO:0006595","polyamine metabolic process","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"ATPAO4",1
"GO:0006672","GO:0006672","ceramide metabolic process","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"AtNCER3",1
"GO:0006863","GO:0006863","purine nucleobase transport","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"ATPUP18",1
"GO:0019852","GO:0019852","L-ascorbic acid metabolic process","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"CYT1",1
"GO:0019853","GO:0019853","L-ascorbic acid biosynthetic process","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"CYT1",1
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"FLS2",1
"GO:0051050","GO:0051050","positive regulation of transport","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"MAG5",1
"GO:1900426","GO:1900426","positive regulation of defense response to bacterium","1/524","24/21644",0.444842995688373,0.749878192731829,0.66726449353256,"SAG101",1
"GO:0006873","GO:0006873","cellular ion homeostasis","5/524","182/21644",0.45126978278109,0.750231561295276,0.667578931661051,"AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",5
"GO:0051247","GO:0051247","positive regulation of protein metabolic process","5/524","182/21644",0.45126978278109,0.750231561295276,0.667578931661051,"SVR7/ARI7/UPL5/NA/SAMBA",5
"GO:0003333","GO:0003333","amino acid transmembrane transport","2/524","63/21644",0.452961916308384,0.750231561295276,0.667578931661051,"NA/NA",2
